;PROMEDIOS ANUALES DE CONTAMINANTES ATMOSFERICOS POR ESTACION;;;;;;;;;;;;;;
;Estación Parque Centenario;;;;;Estación La Boca;;;;;Estación Córdoba;;;;
AÑO;NO (PPB);NO2 ( PPB);NOX ( PPB);CO (ppm);PM10 (ug/m³);NO (PPB);NO2 ( PPB);NOX ( PPB);CO (ppm);PM10 (ug/m³);NO (PPB);NO2 ( PPB);NOX ( PPB);CO (ppm);PM10 (ug/m³)
2010;37;27;64;0,8;31;49;25;74;0,3;44;52;31;83;0,7;39
2011;34;23;58;0,7;42;47;27;74;0,2;39;52;34;86;0,5;40
2012;23;18;41;0,6;34;33;28;61;0,2;28;28;36;64;0,4;27
2013;29;22;50;0,6;31;16;15;30;0,1;26;16;43;59;0,3;27
2014;25;17;42;0,6;25;29;15;44;0,2;24;17;12;29;0,6;22
2015;23;16;39;0,5;26;25;13;37;0,3;23;27;22;48;0,5;28
2016;23;16;39;0,5;26;19;11;30;0,3;27;47;21;68;0,7;26
2017;21;18;39;0,6;23;37;22;59;0,6;32;40;22;62;0,8;25
2018;18;17;35;0,5;22;31;21;52;0,5;31;23;17;41;0,6;25
2019;22;18;40;0,5;21;31;22;53;0,5;30;32;22;54;0,7;27
2020;13;15;28;0,4;20;16;15;31;0,4;21;31;24;55;0,6;19
2021;20;18;39;0,6;23;22;13;35;s/d;22;28;18;46;0,5;20
2022;18;18;36;0,6;27;27;17;44;0,4;35;23;14;36;0,5;23
