FECHA,TMAX,TMIN,NOMBRE
01112023,16.2,11.5,AEROPARQUE AERO
01112023,15.4,1.5,AZUL AERO
01112023,17.6,6.0,BAHIA BLANCA AERO
01112023,6.5,2.4,BARILOCHE AERO
01112023,-6.5,-14.1,BASE BELGRANO II
01112023,0.6,-3.8,BASE CARLINI (EX JUBANY)
01112023,2.7,-4.9,BASE ESPERANZA
01112023,-0.8,-7.4,BASE MARAMBIO
01112023,2.2,-2.2,BASE ORCADAS
01112023,-3.1,-8.8,BASE SAN MARTIN
01112023,15.2,-0.7,BENITO JUAREZ AERO
01112023,25.7,18.2,BERNARDO DE IRIGOYEN AERO
01112023,16.0,3.2,BOLIVAR AERO
01112023,15.7,10.4,BUENOS AIRES OBSERVATORIO
01112023,15.4,7.0,CAMPO DE MAYO AERO
01112023,26.4,17.0,CATAMARCA AERO
01112023,14.0,10.0,CERES AERO
01112023,23.5,12.0,CHAMICAL AERO
01112023,7.5,1.8,CHAPELCO AERO
01112023,22.5,13.0,CHEPES
01112023,24.5,11.6,CHILECITO AERO
01112023,10.6,6.2,CIPOLLETTI
01112023,18.5,2.9,COMODORO RIVADAVIA AERO
01112023,16.8,10.6,CONCORDIA AERO
01112023,10.7,8.2,CORDOBA AERO
01112023,12.5,9.2,CORDOBA OBSERVATORIO
01112023,13.6,3.4,CORONEL SUAREZ AERO
01112023,27.7,18.2,CORRIENTES AERO
01112023,,1.1,DOLORES AERO
01112023,14.8,3.3,EL BOLSON AERO
01112023,17.3,-2.8,EL CALAFATE AERO
01112023,16.0,9.8,EL PALOMAR AERO
01112023,,8.9,ESCUELA DE AVIACION MILITAR AERO
01112023,12.1,-1.3,ESQUEL AERO
01112023,18.5,6.5,EZEIZA AERO
01112023,30.5,21.8,FORMOSA AERO
01112023,13.7,6.8,GENERAL PICO AERO
01112023,20.0,1.0,GOBERNADOR GREGORES AERO
01112023,13.8,9.2,GUALEGUAYCHU AERO
01112023,30.4,19.1,IGUAZU AERO
01112023,31.5,19.0,ITUZAINGO
01112023,23.5,3.5,JACHAL
01112023,25.5,14.9,JUJUY AERO
01112023,24.5,15.2,JUJUY U N
01112023,17.7,6.9,JUNIN AERO
01112023,16.0,7.4,LA PLATA AERO
01112023,26.3,8.9,LA QUIACA OBSERVATORIO
01112023,23.7,15.9,LA RIOJA AERO
01112023,13.1,9.1,LABOULAYE AERO
01112023,18.0,4.0,LAS FLORES
01112023,35.0,23.5,LAS LOMITAS
01112023,10.5,3.2,MALARGUE AERO
01112023,7.0,0.6,MAQUINCHAO
01112023,12.5,2.7,MAR DEL PLATA AERO
01112023,12.8,8.8,MARCOS JUAREZ AERO
01112023,16.0,9.5,MARIANO MORENO AERO
01112023,19.0,9.7,MENDOZA AERO
01112023,16.3,9.8,MENDOZA OBSERVATORIO
01112023,23.0,15.5,MERCEDES AERO (CTES)
01112023,17.1,8.0,MERLO AERO
01112023,17.6,10.5,METAN
01112023,22.5,14.3,MONTE CASEROS AERO
01112023,16.9,9.2,MORON AERO
01112023,10.4,6.2,NEUQUEN AERO
01112023,16.0,6.0,NUEVE DE JULIO
01112023,31.0,18.0,OBERA
01112023,15.5,5.1,OLAVARRIA AERO
01112023,24.7,19.1,ORAN AERO
01112023,13.5,9.4,PARANA AERO
01112023,18.1,-3.8,PASO DE INDIOS
01112023,24.0,16.6,PASO DE LOS LIBRES AERO
01112023,16.4,5.6,PEHUAJO AERO
01112023,16.7,-2.3,PERITO MORENO AERO
01112023,14.2,4.1,PIGUE AERO
01112023,11.4,8.8,PILAR OBSERVATORIO
01112023,31.7,19.1,POSADAS AERO
01112023,24.8,17.0,PRESIDENCIA ROQUE SAENZ PENA AERO
01112023,16.8,4.6,PUERTO DESEADO AERO
01112023,16.6,-1.2,PUERTO MADRYN AERO
01112023,15.5,10.0,PUNTA INDIO B.A.
01112023,12.9,9.2,RAFAELA AERO
01112023,19.9,12.8,RECONQUISTA AERO
01112023,27.5,18.2,RESISTENCIA AERO
01112023,10.4,6.6,RIO CUARTO AERO
01112023,20.5,-2.2,RIO GALLEGOS AERO
01112023,12.2,-0.9,RIO GRANDE B.A.
01112023,30.0,21.3,RIVADAVIA
01112023,14.4,10.1,ROSARIO AERO
01112023,25.5,14.3,SALTA AERO
01112023,13.6,0.6,SAN ANTONIO OESTE AERO
01112023,15.9,10.8,SAN FERNANDO AERO
01112023,21.5,11.0,SAN JUAN AERO
01112023,17.0,-0.5,SAN JULIAN AERO
01112023,19.7,10.6,SAN LUIS AERO
01112023,19.1,9.1,SAN MARTIN (MZA)
01112023,16.0,6.2,SAN RAFAEL AERO
01112023,20.5,-2.0,SANTA CRUZ AERO
01112023,11.9,8.0,SANTA ROSA AERO
01112023,21.0,,SANTA ROSA DE CONLARA AERO
01112023,23.2,12.0,SANTIAGO DEL ESTERO AERO
01112023,14.2,9.2,SAUCE VIEJO AERO
01112023,13.9,9.5,SUNCHALES AERO
01112023,16.8,0.0,TANDIL AERO
01112023,,18.3,TARTAGAL AERO
01112023,19.8,12.2,TERMAS DE RIO HONDO AERO
01112023,29.5,12.0,TINOGASTA
01112023,19.7,-0.8,TRELEW AERO
01112023,15.0,7.6,TRENQUE LAUQUEN
01112023,16.9,2.4,TRES ARROYOS
01112023,19.3,11.6,TUCUMAN AERO
01112023,9.0,3.8,USHUAIA AERO
01112023,19.8,6.0,USPALLATA
01112023,14.5,9.5,VENADO TUERTO AERO
01112023,14.8,6.9,VICTORICA
01112023,16.4,-2.0,VIEDMA AERO
01112023,14.8,9.1,VILLA DE MARIA DEL RIO SECO
01112023,21.6,14.3,VILLA DOLORES AERO
01112023,12.9,6.5,VILLA GESELL AERO
01112023,11.7,7.0,VILLA REYNOLDS AERO
31102023,17.2,12.2,AEROPARQUE AERO
31102023,15.5,6.6,AZUL AERO
31102023,17.1,7.2,BAHIA BLANCA AERO
31102023,8.4,0.1,BARILOCHE AERO
31102023,-9.7,-17.1,BASE BELGRANO II
31102023,1.1,-1.0,BASE CARLINI (EX JUBANY)
31102023,9.7,-2.8,BASE ESPERANZA
31102023,6.6,-1.7,BASE MARAMBIO
31102023,2.8,-7.0,BASE ORCADAS
31102023,-0.3,-7.0,BASE SAN MARTIN
31102023,16.4,6.6,BENITO JUAREZ AERO
31102023,23.2,16.2,BERNARDO DE IRIGOYEN AERO
31102023,18.5,8.4,BOLIVAR AERO
31102023,16.8,12.5,BUENOS AIRES OBSERVATORIO
31102023,15.8,10.9,CAMPO DE MAYO AERO
31102023,30.4,17.4,CATAMARCA AERO
31102023,19.9,13.5,CERES AERO
31102023,27.0,16.6,CHAMICAL AERO
31102023,11.0,-2.5,CHAPELCO AERO
31102023,28.0,11.0,CHEPES
31102023,26.0,11.9,CHILECITO AERO
31102023,17.3,8.7,CIPOLLETTI
31102023,11.5,2.7,COMODORO RIVADAVIA AERO
31102023,19.5,10.6,CONCORDIA AERO
31102023,24.0,10.1,CORDOBA AERO
31102023,23.6,12.3,CORDOBA OBSERVATORIO
31102023,17.2,7.3,CORONEL SUAREZ AERO
31102023,27.5,18.5,CORRIENTES AERO
31102023,,6.1,DOLORES AERO
31102023,13.7,2.8,EL BOLSON AERO
31102023,13.4,-4.0,EL CALAFATE AERO
31102023,16.2,11.5,EL PALOMAR AERO
31102023,,11.2,ESCUELA DE AVIACION MILITAR AERO
31102023,8.5,-0.2,ESQUEL AERO
31102023,15.3,10.0,EZEIZA AERO
31102023,29.9,20.1,FORMOSA AERO
31102023,17.3,10.0,GENERAL PICO AERO
31102023,13.6,-3.0,GOBERNADOR GREGORES AERO
31102023,15.6,9.2,GUALEGUAYCHU AERO
31102023,25.4,17.8,IGUAZU AERO
31102023,30.0,21.0,ITUZAINGO
31102023,23.0,3.0,JACHAL
31102023,27.7,18.2,JUJUY AERO
31102023,25.5,16.7,JUJUY U N
31102023,15.0,9.5,JUNIN AERO
31102023,13.4,9.9,LA PLATA AERO
31102023,24.0,6.4,LA QUIACA OBSERVATORIO
31102023,28.6,17.0,LA RIOJA AERO
31102023,21.4,11.1,LABOULAYE AERO
31102023,18.5,7.9,LAS FLORES
31102023,33.3,20.4,LAS LOMITAS
31102023,16.6,-2.4,MALARGUE AERO
31102023,7.0,1.0,MAQUINCHAO
31102023,14.3,4.3,MAR DEL PLATA AERO
31102023,17.2,11.2,MARCOS JUAREZ AERO
31102023,16.0,12.0,MARIANO MORENO AERO
31102023,23.3,7.8,MENDOZA AERO
31102023,22.4,6.8,MENDOZA OBSERVATORIO
31102023,28.8,18.4,MERCEDES AERO (CTES)
31102023,16.0,11.5,MERLO AERO
31102023,21.2,14.2,METAN
31102023,24.6,15.4,MONTE CASEROS AERO
31102023,15.1,11.8,MORON AERO
31102023,17.6,8.0,NEUQUEN AERO
31102023,15.7,10.5,NUEVE DE JULIO
31102023,28.0,17.0,OBERA
31102023,15.9,7.5,OLAVARRIA AERO
31102023,29.6,20.7,ORAN AERO
31102023,16.3,9.6,PARANA AERO
31102023,12.6,-0.1,PASO DE INDIOS
31102023,28.1,19.0,PASO DE LOS LIBRES AERO
31102023,17.9,9.5,PEHUAJO AERO
31102023,11.9,-2.4,PERITO MORENO AERO
31102023,17.6,6.8,PIGUE AERO
31102023,21.7,11.1,PILAR OBSERVATORIO
31102023,28.5,18.8,POSADAS AERO
31102023,29.1,16.9,PRESIDENCIA ROQUE SAENZ PENA AERO
31102023,9.1,-1.0,PUERTO DESEADO AERO
31102023,11.0,0.7,PUERTO MADRYN AERO
31102023,14.0,10.0,PUNTA INDIO B.A.
31102023,15.2,11.2,RAFAELA AERO
31102023,22.1,16.4,RECONQUISTA AERO
31102023,28.3,19.0,RESISTENCIA AERO
31102023,17.8,9.7,RIO CUARTO AERO
31102023,13.9,-2.5,RIO GALLEGOS AERO
31102023,10.5,-5.2,RIO GRANDE B.A.
31102023,35.0,19.8,RIVADAVIA
31102023,17.1,11.0,ROSARIO AERO
31102023,24.2,15.1,SALTA AERO
31102023,13.0,6.4,SAN ANTONIO OESTE AERO
31102023,16.8,11.7,SAN FERNANDO AERO
31102023,23.8,6.6,SAN JUAN AERO
31102023,14.5,-2.8,SAN JULIAN AERO
31102023,25.1,10.2,SAN LUIS AERO
31102023,23.7,7.0,SAN MARTIN (MZA)
31102023,21.6,4.2,SAN RAFAEL AERO
31102023,14.7,-4.1,SANTA CRUZ AERO
31102023,17.8,7.0,SANTA ROSA AERO
31102023,25.2,,SANTA ROSA DE CONLARA AERO
31102023,24.2,17.6,SANTIAGO DEL ESTERO AERO
31102023,17.0,11.0,SAUCE VIEJO AERO
31102023,16.0,10.7,SUNCHALES AERO
31102023,16.0,5.0,TANDIL AERO
31102023,,21.0,TARTAGAL AERO
31102023,24.2,17.0,TERMAS DE RIO HONDO AERO
31102023,30.0,12.5,TINOGASTA
31102023,11.8,-0.6,TRELEW AERO
31102023,18.6,10.3,TRENQUE LAUQUEN
31102023,16.7,6.5,TRES ARROYOS
31102023,24.4,14.8,TUCUMAN AERO
31102023,8.1,1.8,USHUAIA AERO
31102023,23.0,10.3,USPALLATA
31102023,15.5,11.2,VENADO TUERTO AERO
31102023,17.6,2.9,VICTORICA
31102023,14.8,0.7,VIEDMA AERO
31102023,25.0,13.1,VILLA DE MARIA DEL RIO SECO
31102023,27.0,12.9,VILLA DOLORES AERO
31102023,14.8,7.3,VILLA GESELL AERO
31102023,23.0,8.3,VILLA REYNOLDS AERO
30102023,21.3,10.5,AEROPARQUE AERO
30102023,18.4,8.6,AZUL AERO
30102023,18.8,4.5,BAHIA BLANCA AERO
30102023,7.5,-0.4,BARILOCHE AERO
30102023,-5.5,-18.7,BASE BELGRANO II
30102023,1.0,-6.4,BASE CARLINI (EX JUBANY)
30102023,4.9,-12.6,BASE ESPERANZA
30102023,5.3,-14.7,BASE MARAMBIO
30102023,-6.1,-12.8,BASE ORCADAS
30102023,2.5,-5.8,BASE SAN MARTIN
30102023,17.6,7.1,BENITO JUAREZ AERO
30102023,22.0,14.8,BERNARDO DE IRIGOYEN AERO
30102023,19.7,8.0,BOLIVAR AERO
30102023,20.8,10.5,BUENOS AIRES OBSERVATORIO
30102023,20.5,9.4,CAMPO DE MAYO AERO
30102023,33.4,20.0,CATAMARCA AERO
30102023,32.0,15.0,CERES AERO
30102023,29.2,20.4,CHAMICAL AERO
30102023,8.0,-0.5,CHAPELCO AERO
30102023,30.0,11.0,CHEPES
30102023,30.0,16.6,CHILECITO AERO
30102023,19.9,4.7,CIPOLLETTI
30102023,11.2,3.8,COMODORO RIVADAVIA AERO
30102023,26.2,19.2,CONCORDIA AERO
30102023,25.5,9.2,CORDOBA AERO
30102023,28.5,9.9,CORDOBA OBSERVATORIO
30102023,17.5,6.3,CORONEL SUAREZ AERO
30102023,28.6,18.6,CORRIENTES AERO
30102023,,9.7,DOLORES AERO
30102023,8.2,1.0,EL BOLSON AERO
30102023,9.1,1.0,EL CALAFATE AERO
30102023,21.9,10.0,EL PALOMAR AERO
30102023,,9.2,ESCUELA DE AVIACION MILITAR AERO
30102023,6.2,-1.5,ESQUEL AERO
30102023,21.7,8.7,EZEIZA AERO
30102023,29.5,19.8,FORMOSA AERO
30102023,19.4,7.5,GENERAL PICO AERO
30102023,5.0,0.5,GOBERNADOR GREGORES AERO
30102023,25.0,14.0,GUALEGUAYCHU AERO
30102023,28.0,17.4,IGUAZU AERO
30102023,27.0,21.0,ITUZAINGO
30102023,27.5,11.0,JACHAL
30102023,34.5,17.7,JUJUY AERO
30102023,31.9,18.5,JUJUY U N
30102023,20.2,10.9,JUNIN AERO
30102023,19.9,9.3,LA PLATA AERO
30102023,21.6,2.5,LA QUIACA OBSERVATORIO
30102023,29.0,16.3,LA RIOJA AERO
30102023,20.5,10.6,LABOULAYE AERO
30102023,19.5,9.7,LAS FLORES
30102023,37.0,23.0,LAS LOMITAS
30102023,14.4,0.9,MALARGUE AERO
30102023,9.2,-2.0,MAQUINCHAO
30102023,17.9,8.9,MAR DEL PLATA AERO
30102023,24.8,10.6,MARCOS JUAREZ AERO
30102023,21.5,9.5,MARIANO MORENO AERO
30102023,28.0,9.4,MENDOZA AERO
30102023,,,MENDOZA OBSERVATORIO
30102023,27.3,19.5,MERCEDES AERO (CTES)
30102023,22.0,9.5,MERLO AERO
30102023,27.0,17.4,METAN
30102023,27.5,20.0,MONTE CASEROS AERO
30102023,23.5,9.4,MORON AERO
30102023,18.5,3.5,NEUQUEN AERO
30102023,20.3,10.3,NUEVE DE JULIO
30102023,26.0,18.8,OBERA
30102023,18.5,8.9,OLAVARRIA AERO
30102023,35.2,21.4,ORAN AERO
30102023,26.7,13.2,PARANA AERO
30102023,11.3,-3.8,PASO DE INDIOS
30102023,28.9,20.0,PASO DE LOS LIBRES AERO
30102023,20.2,9.7,PEHUAJO AERO
30102023,10.8,-4.6,PERITO MORENO AERO
30102023,17.0,0.9,PIGUE AERO
30102023,26.5,11.1,PILAR OBSERVATORIO
30102023,27.7,20.5,POSADAS AERO
30102023,31.8,18.3,PRESIDENCIA ROQUE SAENZ PENA AERO
30102023,8.6,2.0,PUERTO DESEADO AERO
30102023,13.0,1.8,PUERTO MADRYN AERO
30102023,18.8,12.0,PUNTA INDIO B.A.
30102023,23.4,14.3,RAFAELA AERO
